Name	Workflow$	Sample Handling	MS*	Identification#	Quantification	Input	Output	Last Release	Version	OpenSource	License	Programming Language	PMID	URL	Remarks
SmartPeak	T + U	C	MS1, MS2	Transitions + rule based	yes	mzML, CSV	mzTab, XML, CSV	2022	v1.20.0	yes	MIT	C++, Python	33269929	https://pubmed.ncbi.nlm.nih.gov/33269929	
LipidMS	U	C	MS1, MS2, MSE / DIA	Compound / Fragment library + rule based	yes	mzXML, CSV	CSV	2022	3.0.3	yes	GPL v3	R	30500173	https://pubmed.ncbi.nlm.nih.gov/30500173	
LipidCreator & Skyline 	T + U	C	MS1, MS2, MSE / DIA	Fragment / Spectral Library + score  (1)	yes (1)	vendor, mzML (MS1 + MS2)	XLSX, CSV, BLIB	2021	1.2.1.787	yes	MIT	C#	32345972	https://pubmed.ncbi.nlm.nih.gov/32345972	(1) Identification and quantification use other tools methods.
LDA2	U	C	MS1, MS2	Rule based	yes	mzML, TXT	XLSX, mzTab-M	2021	2.8.1	yes	GPL v3	Java	29058722	https://pubmed.ncbi.nlm.nih.gov/29058722	
LipidFinder	U	C	MS1	Rule based, LMSD	no	CSV, JSON (2)	PDF, XLSX	2021	v2.0.2	yes	MIT	Python	33027502	https://pubmed.ncbi.nlm.nih.gov/33027502	(2) XCMS input recommended, LIPID MAPS class assignment of suspect ions.
LIQUID  	U	C	MS1, MS2	Spectral library + rule based	yes	RAW, mzML	TSV, mzTab, MSP	2021	07.05.7860	yes	Apache v2	C#	28158427	https://pubmed.ncbi.nlm.nih.gov/28158427	
LOBSTAHS	U	C	MS1	Compound / m/z library + rule based	yes	mzML, mzXML, mzData, CSV	XLSX, CSV	2021	1.20.0	yes	GPL v3	R	27322848	https://pubmed.ncbi.nlm.nih.gov/27322848	
LPPTiger (3)	U	C	MS1, MS2	Spectral library + score	yes	mzML, XLSX, TXT, MSP	XLSX, HTML	2021	v1.0	yes	GPL v2, Proprietary	Python	29123162	https://pubmed.ncbi.nlm.nih.gov/29123162	(3) Supports oxidized phospholipids only.
XCMS	U	C	MS1, MS2	Spectral library + score	yes	mzML, mzXML, netCDF	CSV	2021	3.16.1	yes	GPL v2	R, C	26673825	https://pubmed.ncbi.nlm.nih.gov/26673825	
Smfinder	T + U	C	MS1, MS2	Spectral library + score	yes	mzML, mzXML	XLSX, TXT	2020	1.0	yes (4)	NA	Python, R, C++	32501676	https://pubmed.ncbi.nlm.nih.gov/32501676	(4) The source code is provided for download, but no code license is defined.
MZmine 2	U	C	MS1, MS2	Spectral library + rule based	yes	vendor, mzML, mzXML, mzData, CSV, mzTab, XML	CSV, mzTab, XML	2019	2.53	yes	GPL v2	Java	29575335	https://pubmed.ncbi.nlm.nih.gov/29575335	
LipiDex	U	C	MS1, MS2	Spectral library + rule based	yes	MGF, mzXML, CSV	CSV	2018	1.1	yes	MIT	Java	30756325	https://pubmed.ncbi.nlm.nih.gov/30756325	
LipidPioneer	T + U	C	MS1, MS2	Compound / m/z Library (1)	yes (1)	XLSX	XLSX	2017	1.0	yes (4)	NA	VBA, Excel	33119270	https://pubmed.ncbi.nlm.nih.gov/33119270	(1) Identification and quantification use other tools' methods. (4) The source code is provided for download, but no code license is defined.
Lipid-Pro	U	C	MSE / DIA	Compound / Fragment library	yes	CSV	XLSX, TXT	2015	1.0.0	no	Proprietary	C#	25433698	https://pubmed.ncbi.nlm.nih.gov/25433698	
LipidBlast	U	C	MS1, MS2	Spectral library + score	no	MSP, MGF, XLSX	MGF, XLSX	2014	3	yes	CC-BY 4	VBA, Excel	25340521	https://pubmed.ncbi.nlm.nih.gov/25340521	
LipidMiner	U	C	MS1, MS2	Compound / Fragment library + rule based	yes	raw	XLSX, CSV	2014	NA	no	NA	C#, Python	24623704	https://pubmed.ncbi.nlm.nih.gov/24623704	
LipidQuant	T	C (5)	MS1	m/z library + rule based	yes	TXT	XLSX	2021	1.0	yes	CC-BY 4	VBA, Excel	34498026	https://pubmed.ncbi.nlm.nih.gov/34498026	(5) Lipid class separation chromatography, e.g. HILIC, Supercritical Fluid Chromatography.
MS-DIAL 4	U	C, CE, IM	MS1, MS2, MSE / DIA	Spectral library + rule based	yes	vendor, mzML	CSV, mzTab-M, XLSX	2022	4.80	yes	GPL v3	C#	32541957	https://pubmed.ncbi.nlm.nih.gov/32541957	
Greazy (5)	U	C, DI	MS1, MS2	Fragment / Spectral library + score	no	vendor, mzML	mzTab (via LipidLama)	2022	3.0.22034	yes	Apache v2	C#	27186799	https://pubmed.ncbi.nlm.nih.gov/27186799	(6) Supports phospholipids only.
LipidHunter (5)	U	C, DI	MS1, MS2	Rule based	yes	mzML, XLSX, TXT	XLSX, HTML, TXT	2020	RC3	yes	GPL v2, Proprietary	Python	28753264	https://pubmed.ncbi.nlm.nih.gov/28753264	(6) Supports phospholipids only.
LIMSA	T	C, DI	MS1, MS2	Compound / Fragment library	yes	NetCDF, XLSX, CSV, HTML	NA	2006	NA (7)	NA (7)	GPL v3	C++, VBA, Excel	17165823	https://pubmed.ncbi.nlm.nih.gov/17165823	(7) The software is no longer available.
LipidMatch	U	C, I, DI	MS1, MS2, MSE / DIA	Compound / Fragment library + rule based	yes	CSV, MS2 (ProteoWizard)	CSV	2020	3.0 (8)	yes	CC BY 4.0	R	28693421	https://pubmed.ncbi.nlm.nih.gov/28693421	(8) After release 3.0, LipidMatch is available as LipidMatch Flow (latest version 3.5, but without source code).
LiPydomics	U	C, IM	MS1	CCS Library + m/z library + HILIC RT library + rule based	yes	CSV	XLSX	2021	1.6.8	yes	MIT	Python	33119270	https://pubmed.ncbi.nlm.nih.gov/33119270	
LipidIMMS	U	C, IM	MS1+CCS, MS2	CCS library + Spectral library + score	no	MSP, MGF	CSV, HTML	2020	1.20	no	NA	NA (9)	31729667	https://pubmed.ncbi.nlm.nih.gov/31729667	(9) Software is provided as a web application without further information.
LipoStar	T + U	C, IM	MS1, MS2, MSE / DIA	Compound / Fragment library + rule based validation	yes	vendor	CSV	2022	2.0.2	no	Proprietary	C#	28471643	https://pubmed.ncbi.nlm.nih.gov/28471643	
LipidXplorer	U	DI	MS1, MS2, MS3	Rule based	no	mzML, mzXML (MS1 + MS2)	CSV, HTML	2019	1.2.8.1	yes	GPL v2	Python	26270171	https://pubmed.ncbi.nlm.nih.gov/26270171	
ALEX & ALEX 123	U	C, I, DI	MS1, MS2, MS3	Manual	no	manual input of parameters	HTML	2017	NA	no	NA	NA (9)	29161304	https://pubmed.ncbi.nlm.nih.gov/29161304	(9) Software is provided as a web application without further information.
LipidQA	T + U	DI	MS1, MS2	Spectral library + score	yes	vendor (Thermo, Waters)	CSV	2007	NA (7)	NA (7)	NA	Visual C++	17720531	https://pubmed.ncbi.nlm.nih.gov/17720531	(7) The software is no longer available.
LipidomeDB	T	DI	MS1, MS2	m/z library + Transitions + rule based	yes	XLSX	XLSX, HTML	2019	NA	no	NA	Java	30575037	https://pubmed.ncbi.nlm.nih.gov/30575037	
LipoStarMSI	T + U	DI, I	MS1, MS2	Spectral library + rule based	yes	vendor (Bruker, Waters), imzML	CSV	2020	NA	no	Proprietary	C#	32881505	https://pubmed.ncbi.nlm.nih.gov/32881505	
massPix	U	I	MS1	m/z library + rule based	no	imzML	CSV	2017	1.2	yes	NA	R	28989334	https://pubmed.ncbi.nlm.nih.gov/28989334	
